province,year,temp_AM,humid_AM,rain_AM,temp_PM,humid_PM,rain_PM
กำแพงเพชร,2020,32.55162135808799,56.78745283206617,0.052181880011565214,28.784800106263692,67.56253697101346,0.08364676239679626
กำแพงเพชร,2021,32.62626939141618,58.323054677827514,0.019918630751011527,28.70986094119516,67.67042695248611,0.07772873956135748
กำแพงเพชร,2022,32.70091742474437,59.858656523588856,-0.012344618509542165,28.634921776126628,67.77831693395876,0.07181071672591868
กำแพงเพชร,2023,32.775565458072556,61.394258369350204,-0.04460786777009585,28.559982611058093,67.88620691543142,0.06589269389047989
กำแพงเพชร,2024,32.850213491400744,62.929860215111546,-0.07687111703064954,28.485043445989565,67.99409689690407,0.05997467105504109
กำแพงเพชร,2025,32.92486152472893,64.46546206087288,-0.10913436629120322,28.410104280921033,68.10198687837674,0.0540566482196023
กำแพงเพชร,2026,32.99950955805712,66.00106390663423,-0.14139761555175692,28.3351651158525,68.20987685984939,0.048138625384163504
กำแพงเพชร,2027,33.07415759138531,67.53666575239558,-0.1736608648123106,28.260225950783965,68.31776684132204,0.04222060254872471
กำแพงเพชร,2028,33.148805624713496,69.07226759815691,-0.20592411407286434,28.185286785715437,68.42565682279469,0.03630257971328591
กำแพงเพชร,2029,33.223453658041684,70.60786944391826,-0.23818736333341803,28.110347620646905,68.53354680426735,0.030384556877847118
กำแพงเพชร,2030,33.29810169136987,72.14347128967961,-0.2704506125939717,28.035408455578374,68.64143678574,0.02446653404240833
ตาก,2020,29.42976743254357,62.43999564003656,0.031115516250537576,25.100015277568133,78.58035799327828,0.02709501662030041
ตาก,2021,29.14511129947765,63.54160738865365,0.024406896156054056,24.690774940317084,79.72628638778981,-0.09214330361984101
ตาก,2022,28.86045516641173,64.64321913727075,0.017698276061570536,24.281534603066035,80.87221478230136,-0.2113816238599824
ตาก,2023,28.575799033345806,65.74483088588784,0.010989655967087017,23.87229426581499,82.01814317681288,-0.3306199441001238
ตาก,2024,28.29114290027989,66.84644263450494,0.004281035872603495,23.46305392856394,83.16407157132443,-0.44985826434026527
ตาก,2025,28.006486767213968,67.94805438312203,-0.00242758422188002,23.053813591312892,84.30999996583596,-0.5690965845804067
ตาก,2026,27.72183063414805,69.04966613173913,-0.009136204316363541,22.644573254061843,85.4559283603475,-0.688334904820548
ตาก,2027,27.437174501082126,70.15127788035622,-0.01584482441084706,22.235332916810794,86.60185675485904,-0.8075732250606896
ตาก,2028,27.152518368016207,71.2528896289733,-0.02255344450533058,21.826092579559745,87.74778514937056,-0.926811545300831
ตาก,2029,26.867862234950284,72.35450137759041,-0.029262064599814102,21.416852242308703,88.8937135438821,-1.0460498655409722
ตาก,2030,26.58320610188436,73.4561131262075,-0.03597068469429762,21.007611905057654,90.03964193839363,-1.165288185781114
นครสวรรค์,2020,32.66045395313386,61.09790665170075,-0.023024843120498056,28.45894030416528,74.28247959682804,-0.0017656035074361785
นครสวรรค์,2021,32.61493420914049,62.81598727386739,-0.20554506289241362,28.328690077199354,77.44458798704979,-0.11381863100578597
นครสวรรค์,2022,32.569414465147126,64.53406789603405,-0.3880652826643292,28.198439850233427,80.60669637727153,-0.2258716585041358
นครสวรรค์,2023,32.52389472115376,66.25214851820068,-0.5705855024362448,28.0681896232675,83.76880476749328,-0.33792468600248554
นครสวรรค์,2024,32.4783749771604,67.97022914036734,-0.7531057222081604,27.93793939630157,86.93091315771501,-0.4499777135008353
นครสวรรค์,2025,32.43285523316703,69.68830976253399,-0.935625941980076,27.807689169335642,90.09302154793677,-0.562030740999185
นครสวรรค์,2026,32.387335489173665,71.40639038470063,-1.1181461617519914,27.677438942369715,93.25512993815852,-0.6740837684975349
นครสวรรค์,2027,32.341815745180305,73.12447100686728,-1.300666381523907,27.547188715403788,96.41723832838026,-0.7861367959958847
