province,year,temp_AM,humid_AM,rain_AM,temp_PM,humid_PM,rain_PM,Amount_of_product_per_area
กำแพงเพชร,2010.0,39.2,45.17,5.0,39.2,45.17,5.0,508.99991346237056
กำแพงเพชร,2011.0,39.2,45.17,5.0,39.2,45.17,5.0,503.0621553913382
กำแพงเพชร,2012.0,39.2,45.17,5.0,39.2,45.17,5.0,602.1594500138142
กำแพงเพชร,2013.0,34.38502283105023,61.67159817351597,1.9560730593607307,30.208164383561645,75.02767123287671,1.9777168949771688,606.924504903677
กำแพงเพชร,2014.0,32.251285388127855,65.48784703196347,0.0046575342465753,25.59757762557077,86.24775114155251,0.0031506849315068,580.3046180421337
กำแพงเพชร,2015.0,32.84584795166666,51.00758539666666,0.15933047316666668,29.026970995833334,68.2136514025,0.09790123025000001,571.5956338784019
กำแพงเพชร,2016.0,33.04141120166667,49.364788339166665,0.16117421691666667,29.051850375,66.41821115333333,0.11149880583333334,597.7155340299064
กำแพงเพชร,2017.0,32.27189710333334,52.26630219916667,0.19665151266666667,29.022815413333333,67.38454123583334,0.1035420495,566.7345324830476
กำแพงเพชร,2018.0,31.681071669999998,54.69100084833334,0.05621874475,28.78687321833333,67.85020630583334,0.08079902225,591.2034950185017
กำแพงเพชร,2019.0,31.6540607925,59.81320893666666,0.04976334799999999,27.503952311666666,73.98131802416667,0.08729709225,567.3970751610707
กำแพงเพชร,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,584.808828592899
กำแพงเพชร,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,569.4340974808963
ตาก,2010.0,30.7,65.6,0.2,30.7,65.6,0.2,443.99897864685954
ตาก,2011.0,30.7,65.6,0.2,30.7,65.6,0.2,392.8400286818587
ตาก,2012.0,30.7,65.6,0.2,30.7,65.6,0.2,439.9771347985774
ตาก,2013.0,30.7,65.6,0.2,30.7,65.6,0.2,443.5998273464102
ตาก,2014.0,30.7,65.6,0.2,30.7,65.6,0.2,428.15184303899963
