province,year,temp_AM,humid_AM,rain_AM,temp_PM,humid_PM,rain_PM,Amount_of_product_per_area
กำแพงเพชร,2010.0,39.2,45.17,5.0,39.2,45.17,5.0,696.3625108697254
กำแพงเพชร,2011.0,39.2,45.17,5.0,39.2,45.17,5.0,716.7279791675278
กำแพงเพชร,2012.0,39.2,45.17,5.0,39.2,45.17,5.0,749.5954256122559
กำแพงเพชร,2013.0,34.38502283105023,61.67159817351597,1.9560730593607307,30.208164383561645,75.02767123287671,1.9777168949771688,747.5401616912825
กำแพงเพชร,2014.0,32.251285388127855,65.48784703196347,0.0046575342465753,25.59757762557077,86.24775114155251,0.0031506849315068,732.2710812209001
กำแพงเพชร,2015.0,32.84584795166666,51.00758539666666,0.1593304731666666,29.02697099583333,68.2136514025,0.09790123025,704.7108588844224
กำแพงเพชร,2016.0,33.04141120166667,49.364788339166665,0.1611742169166666,29.051850375,66.41821115333333,0.1114988058333333,717.384176530378
กำแพงเพชร,2017.0,32.27189710333334,52.26630219916667,0.1966515126666666,29.022815413333333,67.38454123583334,0.1035420495,752.8016056963992
กำแพงเพชร,2018.0,31.68107167,54.69100084833334,0.05621874475,28.78687321833333,67.85020630583334,0.08079902225,745.7751727193989
กำแพงเพชร,2019.0,31.6540607925,59.81320893666666,0.0497633479999999,27.503952311666666,73.98131802416667,0.08729709225,753.239888138599
กำแพงเพชร,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,771.1074944952979
กำแพงเพชร,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,766.5672008161825
ตาก,2010.0,30.7,65.6,0.2,30.7,65.6,0.2,678.8577769420015
ตาก,2011.0,30.7,65.6,0.2,30.7,65.6,0.2,662.1443761177584
ตาก,2012.0,30.7,65.6,0.2,30.7,65.6,0.2,659.0956452234482
ตาก,2013.0,30.7,65.6,0.2,30.7,65.6,0.2,663.7173018605508
ตาก,2014.0,30.7,65.6,0.2,30.7,65.6,0.2,668.6317081520181
