province,year,temp_AM,humid_AM,rain_AM,temp_PM,humid_PM,rain_PM,Amount_of_product_per_area
กำแพงเพชร,2010.0,39.2,45.17,5.0,39.2,45.17,5.0,529.1527648635345
กำแพงเพชร,2011.0,39.2,45.17,5.0,39.2,45.17,5.0,541.0004946762272
กำแพงเพชร,2012.0,39.2,45.17,5.0,39.2,45.17,5.0,684.404286433109
กำแพงเพชร,2013.0,34.38502283105023,61.67159817351597,1.9560730593607307,30.208164383561645,75.02767123287671,1.9777168949771688,680.3117234742033
กำแพงเพชร,2014.0,32.251285388127855,65.48784703196347,0.0046575342465753,25.59757762557077,86.24775114155251,0.0031506849315068,648.3351584608212
กำแพงเพชร,2015.0,32.84584795166666,51.00758539666666,0.15933047316666668,29.026970995833334,68.2136514025,0.09790123025000001,615.0087236476659
กำแพงเพชร,2016.0,33.04141120166667,49.364788339166665,0.16117421691666667,29.051850375,66.41821115333333,0.11149880583333334,580.0653204285658
กำแพงเพชร,2017.0,32.27189710333334,52.26630219916667,0.19665151266666667,29.022815413333333,67.38454123583334,0.1035420495,608.1936610731034
กำแพงเพชร,2018.0,31.681071669999998,54.69100084833334,0.05621874475,28.78687321833333,67.85020630583334,0.08079902225,643.5218419051155
กำแพงเพชร,2019.0,31.6540607925,59.81320893666666,0.04976334799999999,27.503952311666666,73.98131802416667,0.08729709225,636.222132463771
กำแพงเพชร,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,599.4851191637086
กำแพงเพชร,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,601.7628655741005
ตาก,2010.0,30.7,65.6,0.2,30.7,65.6,0.2,598.9696903619712
ตาก,2011.0,30.7,65.6,0.2,30.7,65.6,0.2,619.0079558836201
ตาก,2012.0,30.7,65.6,0.2,30.7,65.6,0.2,630.8936560743375
ตาก,2013.0,30.7,65.6,0.2,30.7,65.6,0.2,614.3023996602251
ตาก,2014.0,30.7,65.6,0.2,30.7,65.6,0.2,568.7740029542098
ตาก,2015.0,30.533147610833336,58.27599446833333,0.22934130900000002,27.231870555833336,74.50593696333333,0.5329161688333334,553.6905530449752
ตาก,2016.0,30.411744755,58.606970155,0.17740574225000003,26.765967683333333,74.65624958083333,0.5355666146666667,446.85990338164254
ตาก,2017.0,29.848952111666666,60.56592357333333,0.08326950708333333,26.671877720833333,75.73325732416667,0.37219451366666667,549.5375128468654
ตาก,2018.0,29.7718934275,61.29498117416667,0.060032171083333336,25.593781620833337,77.96668045333334,0.062072408249999995,569.92230854606
ตาก,2019.0,29.595278839166667,63.51129859916667,0.07689679683333332,24.786594202499998,78.34531444166667,0.09094369608333334,558.6452540148722
ตาก,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,529.632609278627
ตาก,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,545.82498791353
นครสวรรค์,2010.0,28.065,87.835,8.3,28.065,87.835,8.3,587.8352900511798
นครสวรรค์,2011.0,28.065,87.835,8.3,28.065,87.835,8.3,616.000330849456
นครสวรรค์,2012.0,28.065,87.83500000000001,8.299999999999999,28.065,87.83500000000001,8.299999999999999,666.8280679531256
นครสวรรค์,2013.0,28.065,87.835,8.3,28.065,87.835,8.3,667.8653672468661
นครสวรรค์,2014.0,28.065,87.835,8.3,28.065,87.835,8.3,656.4136414612824
นครสวรรค์,2015.0,32.684906336666664,57.27237396666666,0.7706387330000001,28.901617,65.91996613333333,0.43360824941666665,620.6062981837188
นครสวรรค์,2016.0,32.888098104166666,55.1565004775,0.78641812375,29.000517903333332,66.36837775083333,0.3306136223333333,582.6289598252215
นครสวรรค์,2017.0,32.470186006666665,54.727400582499996,0.4965594505,28.652844529166668,67.83908463166667,0.2684586005,599.0914326298296
นครสวรรค์,2018.0,32.31451377916667,57.28426442833333,0.04802681858333333,28.583325896666665,69.43169409166667,0.08077908308333333,651.979466103955
นครสวรรค์,2019.0,32.377065260833334,61.663519790833334,0.046317063416666665,27.812571395833334,75.51495031833333,0.0925228125,671.3207580906986
นครสวรรค์,2020.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,641.7816813048934
นครสวรรค์,2021.0,31.170931439613152,61.43154194428124,0.5311632777310961,28.0725634938156,72.2360794530659,0.5493493405480286,658.5889190498181
น่าน,2010.0,27.04,58.225,0.0,27.04,58.225,0.0,558.9401210098059
น่าน,2011.0,27.04,58.225,0.0,27.04,58.225,0.0,555.912252541466
น่าน,2012.0,27.040000000000003,58.225,0.0,27.040000000000003,58.225,0.0,574.7775907670112
น่าน,2013.0,26.914731164383564,62.46147773972604,0.0411415525114155,24.92617579908676,68.6151883561644,0.0482990867579908,558.8896020539153
น่าน,2014.0,28.03339668949772,64.0536843607306,0.0487214611872146,23.613775684931504,76.57866780821918,0.0640867579908675,569.3235097119892
น่าน,2015.0,34.766244325833334,56.777293642500005,0.05295606075,31.146729426666667,72.25436243666667,0.09656248616666667,556.25
น่าน,2016.0,36.093955515833336,52.53213703833333,1.4207273475833333,30.58642069,73.41244575500001,0.15494013408333332,547.4107353984393
น่าน,2017.0,34.7756609175,56.141929776666665,0.09362844358333333,30.753274978333334,75.6851980175,0.18903408325,568.561872909699
น่าน,2018.0,34.57873392416666,59.44310393916667,0.077195451,30.570694614166666,73.40590676083333,0.14033986966666667,576.0137555523714
